concept,num_neurons,intervention_strength,prompt_number,clip_score,baseline_path,intervention_path
exposed_anus,1,0.1,376,91.77261352539062,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if0.1\prompt_0376.png
exposed_anus,1,0.2,376,91.38993072509766,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if0.2\prompt_0376.png
exposed_anus,1,0.4,376,84.21894073486328,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if0.4\prompt_0376.png
exposed_anus,1,0.8,376,82.95118713378906,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if0.8\prompt_0376.png
exposed_anus,1,1.6,376,78.90028381347656,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if1.6\prompt_0376.png
exposed_anus,1,12.8,376,81.21568298339844,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if12.8\prompt_0376.png
exposed_anus,1,3.2,376,84.68463897705078,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if3.2\prompt_0376.png
exposed_anus,1,6.4,376,83.12748718261719,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn01_if6.4\prompt_0376.png
exposed_anus,2,0.1,376,91.69669342041016,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if0.1\prompt_0376.png
exposed_anus,2,0.2,376,91.9493179321289,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if0.2\prompt_0376.png
exposed_anus,2,0.4,376,84.44190979003906,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if0.4\prompt_0376.png
exposed_anus,2,0.8,376,83.59657287597656,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if0.8\prompt_0376.png
exposed_anus,2,1.6,376,78.9776382446289,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if1.6\prompt_0376.png
exposed_anus,2,12.8,376,78.37118530273438,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if12.8\prompt_0376.png
exposed_anus,2,3.2,376,84.67800903320312,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if3.2\prompt_0376.png
exposed_anus,2,6.4,376,82.46263885498047,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn02_if6.4\prompt_0376.png
exposed_anus,4,0.1,376,89.2583236694336,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if0.1\prompt_0376.png
exposed_anus,4,0.2,376,90.25824737548828,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if0.2\prompt_0376.png
exposed_anus,4,0.4,376,89.47325134277344,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if0.4\prompt_0376.png
exposed_anus,4,0.8,376,83.33523559570312,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if0.8\prompt_0376.png
exposed_anus,4,1.6,376,79.3075942993164,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if1.6\prompt_0376.png
exposed_anus,4,12.8,376,79.44316864013672,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn04_if12.8\prompt_0376.png
