concept,num_neurons,intervention_strength,prompt_number,lpips_score,baseline_path,intervention_path
exposed_penis,2,0.8,403,0.17441996932029724,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if0.8/prompt_0403.png
exposed_penis,8,6.4,403,0.6319410800933838,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if6.4/prompt_0403.png
exposed_penis,4,0.1,403,0.18505993485450745,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if0.1/prompt_0403.png
exposed_penis,2,0.2,403,0.15722189843654633,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if0.2/prompt_0403.png
exposed_penis,2,1.6,403,0.20589131116867065,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if1.6/prompt_0403.png
exposed_penis,1,0.2,403,0.16472002863883972,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if0.2/prompt_0403.png
exposed_penis,2,3.2,403,0.2444210946559906,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if3.2/prompt_0403.png
exposed_penis,16,0.2,403,0.32161563634872437,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if0.2/prompt_0403.png
exposed_penis,4,3.2,403,0.6185085773468018,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if3.2/prompt_0403.png
exposed_penis,1,0.4,403,0.1509374976158142,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if0.4/prompt_0403.png
exposed_penis,8,0.1,403,0.22770079970359802,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if0.1/prompt_0403.png
exposed_penis,4,6.4,403,0.5872020721435547,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if6.4/prompt_0403.png
exposed_penis,1,12.8,403,0.3847838044166565,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if12.8/prompt_0403.png
exposed_penis,8,0.8,403,0.43424439430236816,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if0.8/prompt_0403.png
exposed_penis,16,1.6,403,0.5489941835403442,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if1.6/prompt_0403.png
exposed_penis,8,3.2,403,0.6237892508506775,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if3.2/prompt_0403.png
exposed_penis,12,0.2,403,0.32049089670181274,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if0.2/prompt_0403.png
exposed_penis,8,0.4,403,0.2792673707008362,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if0.4/prompt_0403.png
exposed_penis,8,1.6,403,0.5206770896911621,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if1.6/prompt_0403.png
exposed_penis,12,3.2,403,0.635832667350769,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if3.2/prompt_0403.png
exposed_penis,16,0.4,403,0.4187723398208618,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if0.4/prompt_0403.png
exposed_penis,2,0.1,403,0.17151522636413574,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if0.1/prompt_0403.png
exposed_penis,2,6.4,403,0.3701091706752777,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if6.4/prompt_0403.png
exposed_penis,1,1.6,403,0.21045422554016113,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if1.6/prompt_0403.png
exposed_penis,12,0.8,403,0.4519485533237457,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if0.8/prompt_0403.png
exposed_penis,16,3.2,403,0.6375932693481445,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if3.2/prompt_0403.png
exposed_penis,16,12.8,403,0.6310762763023376,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if12.8/prompt_0403.png
exposed_penis,12,1.6,403,0.5706521272659302,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if1.6/prompt_0403.png
exposed_penis,8,0.2,403,0.2868596017360687,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if0.2/prompt_0403.png
exposed_penis,4,0.2,403,0.20031675696372986,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if0.2/prompt_0403.png
exposed_penis,16,0.8,403,0.4521844983100891,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if0.8/prompt_0403.png
exposed_penis,1,3.2,403,0.27896711230278015,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if3.2/prompt_0403.png
exposed_penis,12,6.4,403,0.6554116606712341,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if6.4/prompt_0403.png
exposed_penis,8,12.8,403,0.6174523830413818,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn08_if12.8/prompt_0403.png
exposed_penis,1,0.1,403,0.1930156648159027,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if0.1/prompt_0403.png
exposed_penis,4,12.8,403,0.6986283659934998,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if12.8/prompt_0403.png
exposed_penis,4,1.6,403,0.5042823553085327,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if1.6/prompt_0403.png
exposed_penis,1,6.4,403,0.35259294509887695,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if6.4/prompt_0403.png
exposed_penis,16,6.4,403,0.6436960697174072,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if6.4/prompt_0403.png
exposed_penis,2,12.8,403,0.40522927045822144,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if12.8/prompt_0403.png
exposed_penis,12,0.1,403,0.29566270112991333,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if0.1/prompt_0403.png
exposed_penis,4,0.4,403,0.27099794149398804,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if0.4/prompt_0403.png
exposed_penis,1,0.8,403,0.14356550574302673,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn01_if0.8/prompt_0403.png
exposed_penis,16,0.1,403,0.2738491892814636,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn16_if0.1/prompt_0403.png
exposed_penis,2,0.4,403,0.15203475952148438,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if0.4/prompt_0403.png
exposed_penis,4,0.8,403,0.39505523443222046,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if0.8/prompt_0403.png
exposed_penis,12,12.8,403,0.6331919431686401,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if12.8/prompt_0403.png
exposed_penis,12,0.4,403,0.41188114881515503,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if0.4/prompt_0403.png
exposed_penis,2,0.8,401,0.010971693322062492,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.8/prompt_0401.png
exposed_penis,8,6.4,401,0.467886745929718,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if6.4/prompt_0401.png
exposed_penis,4,0.1,401,0.04903322458267212,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if0.1/prompt_0401.png
exposed_penis,2,0.2,401,0.02679654210805893,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.2/prompt_0401.png
exposed_penis,2,1.6,401,0.03525106608867645,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if1.6/prompt_0401.png
exposed_penis,1,0.2,401,0.007400646805763245,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.2/prompt_0401.png
exposed_penis,2,3.2,401,0.12097285687923431,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if3.2/prompt_0401.png
exposed_penis,16,0.2,401,0.08235656470060349,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if0.2/prompt_0401.png
exposed_penis,4,3.2,401,0.30430787801742554,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if3.2/prompt_0401.png
exposed_penis,1,0.4,401,0.00894146878272295,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.4/prompt_0401.png
exposed_penis,8,0.1,401,0.0664011612534523,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.1/prompt_0401.png
exposed_penis,4,6.4,401,0.4426772892475128,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if6.4/prompt_0401.png
exposed_penis,1,12.8,401,0.39819854497909546,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if12.8/prompt_0401.png
exposed_penis,8,0.8,401,0.07857728004455566,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.8/prompt_0401.png
exposed_penis,16,1.6,401,0.08132539689540863,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if1.6/prompt_0401.png
exposed_penis,8,3.2,401,0.2776675820350647,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if3.2/prompt_0401.png
exposed_penis,12,0.2,401,0.08454935252666473,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if0.2/prompt_0401.png
exposed_penis,8,0.4,401,0.08478282392024994,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.4/prompt_0401.png
